Entity;Year;Co
Indonesia;1889;3664
Indonesia;1890;14656
Indonesia;1891;21984
Indonesia;1892;190757
Indonesia;1893;403040
Indonesia;1894;479984
Indonesia;1895;769440
Indonesia;1896;861040
Indonesia;1897;1106528
Indonesia;1898;1289728
Indonesia;1899;1124848
Indonesia;1900;1209120
Indonesia;1901;2242368
Indonesia;1902;1538880
Indonesia;1903;3000816
Indonesia;1904;3367216
Indonesia;1905;4132991.8
Indonesia;1906;4451760
Indonesia;1907;5294480
Indonesia;1908;5492336
Indonesia;1909;5986976
Indonesia;1910;6111552
Indonesia;1911;6727104
Indonesia;1912;5840416
Indonesia;1913;5899040
Indonesia;1914;6016288
Indonesia;1915;6030944
Indonesia;1916;6763744
Indonesia;1917;7137472
Indonesia;1918;7130144
Indonesia;1919;7635776
Indonesia;1920;8262319.5
Indonesia;1921;8756960
Indonesia;1922;8298959.5
Indonesia;1923;9588688
Indonesia;1924;10585296
Indonesia;1925;11079936
Indonesia;1926;11098256
Indonesia;1927;12886288
Indonesia;1928;14831872
Indonesia;1929;18539246
Indonesia;1930;18084938
Indonesia;1931;16894168
Indonesia;1932;16586601
Indonesia;1933;17861704
Indonesia;1934;19235554
Indonesia;1935;20001212
Indonesia;1936;21767288
Indonesia;1937;25343888
Indonesia;1938;26732544
Indonesia;1939;29201396
Indonesia;1940;28733088
Indonesia;1941;26486372
Indonesia;1942;9456784
Indonesia;1943;19027152
Indonesia;1944;8771616
Indonesia;1945;3806896
Indonesia;1946;1344688
Indonesia;1947;4056018
Indonesia;1948;15494907
Indonesia;1949;21903392
Indonesia;1950;9830512
Indonesia;1951;9390416
Indonesia;1952;12720844
Indonesia;1953;13079886
Indonesia;1954;14747006
Indonesia;1955;20843902
Indonesia;1956;21811198
Indonesia;1957;22411678
Indonesia;1958;22206286
Indonesia;1959;23862234
Indonesia;1960;21385192
Indonesia;1961;26001594
Indonesia;1962;22974894
Indonesia;1963;22763096
Indonesia;1964;22374266
Indonesia;1965;24668226
Indonesia;1966;23374952
Indonesia;1967;24540046
Indonesia;1968;27562608
Indonesia;1969;33362214
Indonesia;1970;35791384
Indonesia;1971;38955264
Indonesia;1972;43306284
Indonesia;1973;49098096
Indonesia;1974;51226504
Indonesia;1975;53932536
Indonesia;1976;61788250
Indonesia;1977;82416410
Indonesia;1978;93938110
Indonesia;1979;95137000
Indonesia;1980;94872870
Indonesia;1981;100297050
Indonesia;1982;105583976
Indonesia;1983;105183850
Indonesia;1984;112460230
Indonesia;1985;121597384
Indonesia;1986;122166080
Indonesia;1987;123878480
Indonesia;1988;132721210
Indonesia;1989;131673520
Indonesia;1990;155080830
Indonesia;1991;174865010
Indonesia;1992;199418670
Indonesia;1993;215108740
Indonesia;1994;219371660
Indonesia;1995;222410480
Indonesia;1996;253065010
Indonesia;1997;279941500
Indonesia;1998;244522960
Indonesia;1999;292000930
Indonesia;2000;281330370
Indonesia;2001;317027200
Indonesia;2002;308485920
Indonesia;2003;339357470
Indonesia;2004;343021500
Indonesia;2005;347617020
Indonesia;2006;346633440
Indonesia;2007;387858050
Indonesia;2008;365718300
Indonesia;2009;398942050
Indonesia;2010;445806080
Indonesia;2011;500724540
Indonesia;2012;515954180
Indonesia;2013;489055100
Indonesia;2014;487889950
Indonesia;2015;539149250
Indonesia;2016;540085600
Indonesia;2017;556944200
Indonesia;2018;594101400
Indonesia;2019;650905900
Indonesia;2020;605984600
Indonesia;2021;615923400
Indonesia;2022;728883260
